date,acres,lat,lon
1982-07-28T08:00:00Z,0.0,48.66195,-118.073182
1977-06-10T08:00:00Z,0.2,48.66195,-118.073182
1974-06-25T08:00:00Z,7.0,48.66195,-118.073182
1974-06-25T08:00:00Z,4.2,48.66195,-118.073182
1973-07-24T08:00:00Z,0.2,48.66195,-118.073182
2004-06-30T08:00:00Z,7.0,48.947028,-119.361285
1988-07-24T08:00:00Z,0.1,46.989023,-122.283338
2002-09-05T08:00:00Z,0.0,48.789597,-118.159196
1977-10-03T08:00:00Z,0.2,48.489839,-122.83156
2005-07-03T08:00:00Z,0.1,47.192868,-124.20046
1992-07-19T08:00:00Z,12.0,47.804551,-117.967425
2007-07-04T08:00:00Z,0.2,47.763696,-117.066253
1973-08-16T08:00:00Z,0.1,48.590652,-119.505833
1996-01-01T08:00:00Z,0.0,47.677274,-117.493707
1990-07-30T08:00:00Z,0.5,48.475923,-117.706498
1975-07-11T08:00:00Z,0.1,47.693285,-121.660327
1994-01-01T08:00:00Z,0.0,48.789366,-118.60663
2002-08-16T08:00:00Z,23.0,48.789366,-118.60663
1998-08-29T08:00:00Z,0.1,45.835897,-121.278456
2004-09-07T08:00:00Z,0.2,47.155521,-120.526456
1994-06-13T08:00:00Z,0.0,47.037827,-121.989551
2001-08-13T08:00:00Z,0.0,48.537273,-119.406318
1999-04-16T08:00:00Z,6.0,48.717353,-118.713699
2000-08-20T08:00:00Z,0.1,48.083229,-117.755164
1999-04-15T08:00:00Z,7.0,48.895882,-118.219695
2001-05-03T08:00:00Z,0.2,48.895882,-118.219695
1975-07-07T08:00:00Z,0.1,47.103701,-122.346879
1975-07-03T08:00:00Z,0.5,47.103701,-122.346879
1993-09-14T08:00:00Z,0.1,47.92666,-124.532843
1994-07-28T08:00:00Z,0.1,48.00872,-123.083002
2002-11-28T08:00:00Z,18.0,46.037843,-122.449926
1999-07-14T08:00:00Z,0.1,47.541773,-117.553369
1976-10-23T08:00:00Z,2.5,48.532975,-117.813553
1976-09-24T08:00:00Z,0.6,48.532975,-117.813553
1984-09-03T08:00:00Z,0.1,48.3531,-117.910488
2004-07-25T08:00:00Z,3.0,46.154889,-123.054456
1990-07-15T08:00:00Z,0.1,47.716636,-117.344114
2006-08-06T08:00:00Z,0.1,48.06527,-123.264644
2000-01-01T08:00:00Z,0.0,48.06527,-123.264644
1996-06-03T08:00:00Z,0.0,45.718075,-121.467583
1992-08-18T08:00:00Z,0.0,48.258776,-117.184506
2003-08-11T08:00:00Z,0.2,46.572181,-123.598772
2006-05-13T08:00:00Z,0.2,48.261571,-118.010353
1988-01-01T08:00:00Z,0.1,47.103431,-121.099418
1985-06-17T08:00:00Z,0.1,46.555806,-122.853166
1975-06-07T08:00:00Z,1.5,47.367554,-122.876392
2000-05-27T08:00:00Z,0.3,46.969027,-120.796486
1979-07-20T08:00:00Z,0.1,48.893203,-117.833411
2001-06-02T08:00:00Z,1.0,46.710075,-120.474595
1985-07-01T08:00:00Z,0.1,46.950594,-122.730935
2001-07-06T08:00:00Z,0.1,47.485739,-122.7928
1998-08-10T08:00:00Z,0.1,46.946737,-122.466291
2004-06-25T08:00:00Z,0.3,47.404022,-117.64774
1996-07-14T08:00:00Z,0.1,47.055775,-122.756967
1996-08-24T08:00:00Z,0.5,47.055775,-122.756967
1988-07-21T08:00:00Z,0.1,47.055775,-122.756967
1986-08-27T08:00:00Z,0.0,45.77227,-122.498295
1989-09-11T08:00:00Z,0.1,46.570878,-122.90564
1989-09-08T08:00:00Z,0.2,48.096153,-122.406393
1997-08-14T08:00:00Z,0.1,45.702177,-121.44238
1984-09-21T08:00:00Z,0.0,47.263343,-122.8792
1992-06-02T08:00:00Z,0.1,47.051969,-122.683216
2002-11-03T08:00:00Z,0.1,47.051969,-122.683216
1999-08-25T08:00:00Z,0.1,48.842178,-117.640262
1986-10-22T08:00:00Z,0.0,48.354084,-122.304938
2001-07-08T08:00:00Z,0.1,47.230507,-122.96885
1992-06-25T08:00:00Z,4.2,48.789364,-118.850376
2001-01-01T08:00:00Z,0.0,48.789364,-118.850376
1977-08-16T08:00:00Z,0.3,46.755779,-122.140068
1996-07-13T08:00:00Z,0.5,46.468601,-124.044387
1993-09-25T08:00:00Z,0.1,46.468601,-124.044387
1991-06-29T08:00:00Z,0.2,46.468601,-124.044387
1989-07-19T08:00:00Z,0.1,46.468601,-124.044387
1989-07-03T08:00:00Z,0.3,46.468601,-124.044387
1986-07-07T08:00:00Z,0.2,46.468601,-124.044387
1985-07-06T08:00:00Z,0.1,46.468601,-124.044387
1985-07-05T08:00:00Z,0.1,46.468601,-124.044387
2000-08-22T08:00:00Z,13.2,46.306134,-122.914624
1996-06-10T08:00:00Z,1.0,45.994683,-121.536778
2000-07-01T08:00:00Z,0.1,47.33489,-117.808761
2004-08-02T08:00:00Z,0.5,47.948827,-121.671535
1979-08-28T08:00:00Z,0.1,46.352853,-124.026339
1990-04-01T08:00:00Z,0.1,47.578099,-117.327967
2003-09-07T08:00:00Z,0.1,48.049208,-123.479357
1974-07-04T08:00:00Z,0.1,47.985602,-122.17328
1992-01-01T08:00:00Z,0.0,47.934696,-117.404188
1987-04-29T08:00:00Z,0.2,46.598123,-120.911623
2006-09-03T08:00:00Z,0.25,48.940866,-122.651954
1976-08-16T08:00:00Z,0.0,47.21134,-120.698697
1997-07-15T08:00:00Z,0.0,47.439653,-123.085936
1981-08-16T08:00:00Z,0.0,47.439653,-123.085936
1994-08-03T08:00:00Z,0.1,45.922447,-121.562435
1990-07-16T08:00:00Z,0.1,48.442694,-122.580038
1988-08-11T08:00:00Z,1.7,46.383664,-124.052995
1984-08-02T08:00:00Z,0.1,48.651771,-122.879598
1994-08-07T08:00:00Z,0.1,47.185189,-121.146447
1996-09-11T08:00:00Z,0.1,46.947348,-122.868102
2006-06-08T08:00:00Z,0.0,48.936014,-119.328586
1994-07-30T08:00:00Z,0.1,46.736902,-120.80258
2004-04-16T08:00:00Z,0.1,46.770568,-120.932561
1991-09-11T08:00:00Z,0.1,45.648658,-122.241273
1970-08-28T08:00:00Z,150.0,48.039586,-117.403996
1987-09-29T08:00:00Z,0.1,47.386601,-122.927118
1985-07-22T08:00:00Z,1.5,46.957936,-122.783638
1985-07-22T08:00:00Z,0.3,46.957936,-122.783638
